File Name,,Reference,Verse,,,,,,
0-Colossians323_53_9_0.mp4,"""Whatever you do, work heartily, as for the Lord and not for men,"" - Colossians 3:23",Colossians 3:23,"Whatever you do, work heartily, as for the Lord and not for men,",Colossians 3:23 | Daily verse #bible ,,,,,Colossians 3:23 | Daily verse #bible 
1-1Corinthians1558_44_42_3.mp4,"""Therefore, my beloved brothers, be steadfast, immovable, always abounding in the work of the Lord, knowing that in the Lord your labor is not in vain."" - 1 Corinthians 15:58",1 Corinthians 15:58,"Therefore, my beloved brothers, be steadfast, immovable, always abounding in the work of the Lord, knowing that in the Lord your labor is not in vain.",1 Corinthians 15:58 | Daily verse #bible ,,,,,1 Corinthians 15:58 | Daily verse #bible 
10-Romans828_14_5_2.mp4,"""And we know that for those who love God all things work together for good, for those who are called according to his purpose."" - Romans 8:28",Romans 8:28,"And we know that for those who love God all things work together for good, for those who are called according to his purpose.",Romans 8:28 | Daily verse #bible ,,,,,Romans 8:28 | Daily verse #bible 
11-Galatians512_31_6_7.mp4,"""I wish those who unsettle you would emasculate themselves!"" - Galatians 5:12",Galatians 5:12,I wish those who unsettle you would emasculate themselves!,Galatians 5:12 | Daily verse #bible ,,,,,Galatians 5:12 | Daily verse #bible 
12-Isaiah4110_55_1_1.mp4,"""Fear not, for I am with you; be not dismayed, for I am your God; I will strengthen you, I will help you, I will uphold you with my righteous right hand."" - Isaiah 41:10",Isaiah 41:10,"Fear not, for I am with you; be not dismayed, for I am your God; I will strengthen you, I will help you, I will uphold you with my righteous right hand.",Isaiah 41:10 | Daily verse #bible ,,,,,Isaiah 41:10 | Daily verse #bible 
13-Deuteronomy316_49_25_12.mp4,"""Be strong and courageous. Do not fear or be in dread of them, for it is the Lord your God who goes with you. He will not leave you or forsake you.”"" - Deuteronomy 31:6",Deuteronomy 31:6,"Be strong and courageous. Do not fear or be in dread of them, for it is the Lord your God who goes with you. He will not leave you or forsake you.”",Deuteronomy 31:6 | Daily verse #bible ,,,,,Deuteronomy 31:6 | Daily verse #bible 
14-Isaiah4031_28_4_0.mp4,"""But they who wait for the Lord shall renew their strength; they shall mount up with wings like eagles; they shall run and not be weary; they shall walk and not faint."" - Isaiah 40:31",Isaiah 40:31,But they who wait for the Lord shall renew their strength; they shall mount up with wings like eagles; they shall run and not be weary; they shall walk and not faint.,Isaiah 40:31 | Daily verse #bible ,,,,,Isaiah 40:31 | Daily verse #bible 
15-Proverbs35-6_10_22_8.mp4,"""Trust in the Lord with all your heart, and do not lean on your own understanding. In all your ways acknowledge him, and he will make straight your paths."" - Proverbs 3:5-6",Proverbs 3:5-6,"Trust in the Lord with all your heart, and do not lean on your own understanding. In all your ways acknowledge him, and he will make straight your paths.",Proverbs 3:5-6 | Daily verse #bible ,,,,,Proverbs 3:5-6 | Daily verse #bible 
16-Galatians110_32_48_4.mp4,"""For am I now seeking the approval of man, or of God? Or am I trying to please man? If I were still trying to please man, I would not be a servant of Christ."" - Galatians 1:10",Galatians 1:10,"For am I now seeking the approval of man, or of God? Or am I trying to please man? If I were still trying to please man, I would not be a servant of Christ.",Galatians 1:10 | Daily verse #bible ,,,,,Galatians 1:10 | Daily verse #bible 
17-2Thessalonians310_12_13_10.mp4,"""For even when we were with you, we would give you this command: If anyone is not willing to work, let him not eat."" - 2 Thessalonians 3:10",2 Thessalonians 3:10,"For even when we were with you, we would give you this command: If anyone is not willing to work, let him not eat.",2 Thessalonians 3:10 | Daily verse #bible ,,,,,2 Thessalonians 3:10 | Daily verse #bible 
18-Proverbs2717_5_26_12.mp4,"""Iron sharpens iron, and one man sharpens another."" - Proverbs 27:17",Proverbs 27:17,"Iron sharpens iron, and one man sharpens another.",Proverbs 27:17 | Daily verse #bible ,,,,,Proverbs 27:17 | Daily verse #bible 
19-2Timothy17_17_39_13.mp4,"""For God gave us a spirit not of fear but of power and love and self-control."" - 2 Timothy 1:7",2 Timothy 1:7,For God gave us a spirit not of fear but of power and love and self-control.,2 Timothy 1:7 | Daily verse #bible ,,,,,2 Timothy 1:7 | Daily verse #bible 
2-Proverbs35_11_47_5.mp4,"""Trust in the Lord with all your heart, and do not lean on your own understanding."" - Proverbs 3:5",Proverbs 3:5,"Trust in the Lord with all your heart, and do not lean on your own understanding.",Proverbs 3:5 | Daily verse #bible ,,,,,Proverbs 3:5 | Daily verse #bible 
20-1Peter57_7_14_5.mp4,"""Casting all your anxieties on him, because he cares for you."" - 1 Peter 5:7",1 Peter 5:7,"Casting all your anxieties on him, because he cares for you.",1 Peter 5:7 | Daily verse #bible ,,,,,1 Peter 5:7 | Daily verse #bible 
21-John316_17_0_10.mp4,"""“For God so loved the world, that he gave his only Son, that whoever believes in him should not perish but have eternal life."" - John 3:16",John 3:16,"“For God so loved the world, that he gave his only Son, that whoever believes in him should not perish but have eternal life.",John 3:16 | Daily verse #bible ,,,,,John 3:16 | Daily verse #bible 
22-Romans1513_6_44_7.mp4,"""May the God of hope fill you with all joy and peace in believing, so that by the power of the Holy Spirit you may abound in hope."" - Romans 15:13",Romans 15:13,"May the God of hope fill you with all joy and peace in believing, so that by the power of the Holy Spirit you may abound in hope.",Romans 15:13 | Daily verse #bible ,,,,,Romans 15:13 | Daily verse #bible 
23-1Corinthians1613_37_31_1.mp4,"""Be watchful, stand firm in the faith, act like men, be strong."" - 1 Corinthians 16:13",1 Corinthians 16:13,"Be watchful, stand firm in the faith, act like men, be strong.",1 Corinthians 16:13 | Daily verse #bible ,,,,,1 Corinthians 16:13 | Daily verse #bible 
24-John1010_30_12_13.mp4,"""The thief comes only to steal and kill and destroy. I came that they may have life and have it abundantly."" - John 10:10",John 10:10,The thief comes only to steal and kill and destroy. I came that they may have life and have it abundantly.,John 10:10 | Daily verse #bible ,,,,,John 10:10 | Daily verse #bible 
25-Luke1510_3_28_13.mp4,"""Just so, I tell you, there is joy before the angels of God over one sinner who repents.”"" - Luke 15:10",Luke 15:10,"Just so, I tell you, there is joy before the angels of God over one sinner who repents.”",Luke 15:10 | Daily verse #bible ,,,,,Luke 15:10 | Daily verse #bible 
26-2Timothy316_0_11_4.mp4,"""All Scripture is breathed out by God and profitable for teaching, for reproof, for correction, and for training in righteousness,"" - 2 Timothy 3:16",2 Timothy 3:16,"All Scripture is breathed out by God and profitable for teaching, for reproof, for correction, and for training in righteousness,",2 Timothy 3:16 | Daily verse #bible ,,,,,2 Timothy 3:16 | Daily verse #bible 
27-Psalm348_27_47_10.mp4,"""Oh, taste and see that the Lord is good! Blessed is the man who takes refuge in him!"" - Psalm 34:8",Psalm 34:8,"Oh, taste and see that the Lord is good! Blessed is the man who takes refuge in him!",Psalm 34:8 | Daily verse #bible ,,,,,Psalm 34:8 | Daily verse #bible 
28-Joshua19_8_23_5.mp4,"""Have I not commanded you? Be strong and courageous. Do not be frightened, and do not be dismayed, for the Lord your God is with you wherever you go.”"" - Joshua 1:9",Joshua 1:9,"Have I not commanded you? Be strong and courageous. Do not be frightened, and do not be dismayed, for the Lord your God is with you wherever you go.”",Joshua 1:9 | Daily verse #bible ,,,,,Joshua 1:9 | Daily verse #bible 
29-Proverbs1810_18_10_6.mp4,"""The name of the Lord is a strong tower; the righteous man runs into it and is safe."" - Proverbs 18:10",Proverbs 18:10,The name of the Lord is a strong tower; the righteous man runs into it and is safe.,Proverbs 18:10 | Daily verse #bible ,,,,,Proverbs 18:10 | Daily verse #bible 
3-Matthew1926_15_2_6.mp4,"""But Jesus looked at them and said, “With man this is impossible, but with God all things are possible.”"" - Matthew 19:26",Matthew 19:26,"But Jesus looked at them and said, “With man this is impossible, but with God all things are possible.”",Matthew 19:26 | Daily verse #bible ,,,,,Matthew 19:26 | Daily verse #bible 
30-Colossians323-24_45_11_3.mp4,"""Whatever you do, work heartily, as for the Lord and not for men, knowing that from the Lord you will receive the inheritance as your reward. You are serving the Lord Christ."" - Colossians 3:23-24",Colossians 3:23-24,"Whatever you do, work heartily, as for the Lord and not for men, knowing that from the Lord you will receive the inheritance as your reward. You are serving the Lord Christ.",Colossians 3:23-24 | Daily verse #bible ,,,,,Colossians 3:23-24 | Daily verse #bible 
31-Ephesians210_18_38_4.mp4,"""For we are his workmanship, created in Christ Jesus for good works, which God prepared beforehand, that we should walk in them."" - Ephesians 2:10",Ephesians 2:10,"For we are his workmanship, created in Christ Jesus for good works, which God prepared beforehand, that we should walk in them.",Ephesians 2:10 | Daily verse #bible ,,,,,Ephesians 2:10 | Daily verse #bible 
